杏林小区 ,195
濂泉路 ,185
東海花園 ,268
景泰新村景泰北街 ,165
珠殿苑南区 ,132
锦绣御景国际二期 ,260
祈福新村青怡居 ,163
敦和花园 ,160
丰隆轩 ,235
锦绣半岛 ,285
广园云苑新村 ,175
万科东荟城 ,239
水荫路水荫直街 ,450
保利林语山庄 ,415
富丽家园百佳楼 ,158
祈福新村山泉居 ,173
万科金色梦想 ,180
紫荆花园 ,248
富丽家园丽水湾 ,223
惠百氏广场 ,169
广州星河丹堤 ,1420
保利花园 ,388
十八甫南路 ,260
金碧花园第二金碧 ,300
骏景花园 ,630
汇富花园 ,335
水荫翠院 ,558
泽德花苑 ,145
美好居 ,280
富力天朗明居S区 ,335
富力桃园 ,238
富力广场D区 ,399
中海誉城南苑 ,183
锦绣新天地 ,157
新塘新世界花园 ,165
骏景花园 ,332
华景新城芳满庭园 ,565
康乃馨苑 ,205
英豪花园阳光320 ,168
共和三路 ,360
东华花园 ,205
尚东尚筑 ,153
丛桂路丛桂新街 ,225
祈福新村翠怡居 ,202
金迪城市花园 ,173
文昌雅居 ,290
五羊小区 ,275
挹翠路 ,205
鸿城花园 ,205
新康花园 ,175
东华花园 ,215
金碧花园第三金碧 ,320
广州奥林匹克花园 ,196
鸿翔大厦 ,251
民航小区利民北街 ,188
穗园小区 ,478
新塘新世界花园万象苑 ,220
中海誉城北苑 ,230
万科金色梦想 ,285
建设六马路青菜岗 ,188
金色港湾 ,90
环市西路 ,115
龙光峰景华庭 ,230
亚运城运动员村四区 ,245
万科新里程 ,275
祥景花园 ,190
白云明珠广场 ,235
宝翠苑 ,159
三元里大道 ,165
晓港湾漾日云天 ,268
维雅苑 ,330
顺华名庭 ,220
碧桂园城市花园漫绿苑 ,168
中环品悦 ,255
侨源山庄 ,320
中海誉城北苑 ,286
金城花园 ,152
德荣小区 ,410
自在城市花园 ,213
农林上路一横路 ,620
光复南路 ,165
中国铁建国际花园 ,186
富力广场D区 ,428
金碧世纪花园 ,242
禺雅园 ,170
一品湖山 ,335
金碧花园第二金碧 ,260
祈福新村青怡居 ,175
东景华庭 ,168
广信春兰花园 ,300
广信华景大厦 ,420
晓翠苑 ,175
华仙楼 ,188
丰逸尚居 ,232
旭景家园D区 ,365
侨诚花园秋月苑 ,225
越秀岭南雅筑 ,194
田心社区田心大街 ,130
金碧花园第三金碧 ,305
富力环市西苑 ,490
金雅苑 ,335
祈福新村翠怡居 ,270
祈福万景峰祈福天龙苑 ,200
中海誉城南苑 ,270
机关宿舍 ,305
金碧花园第三金碧 ,260
新福港鼎峰 ,380
水荫路 ,229
力诚凯怡湾 ,196
万科新里程 ,278
锦绣御景国际四期 ,260
万科东荟城 ,422
富力新村 ,175
富力天朗明居N区 ,345
华景新城怡华台 ,420
正升雅境 ,260
岗前路24号 ,90
荔港南湾 ,470
金碧翡翠华庭 ,498
积德花园 ,140
荔港南湾 ,280
北丽园 ,175
南国奥林匹克花园 ,290
翠景苑(海珠) ,190
富力半岛花园 ,303
侨怡苑 ,425
华景新城泽晖苑 ,425
万科东荟城 ,268
云宁居 ,215
金迪城市花园 ,100
荔港南湾 ,460
晓港东二马路 ,135
万科金色梦想 ,180
华侨城(番禺) ,123
保利百合花园二期 ,390
广园云苑新村 ,170
西城花园 ,142
棠德花园 ,138
